word,synonyms
đẹp,xinh; tuyệt đẹp; dễ thương; đẹp đẽ
tốt,ổn; xuất sắc; tuyệt vời; chất lượng
xấu,tệ; kém; dở; kém chất lượng
nhanh,mau; lẹ; tốc độ; nhanh chóng
chậm,từ tốn; ì ạch; không nhanh
vui,hạnh phúc; phấn khởi; vui vẻ
buồn,chán; rầu rĩ; buồn bã
giận,tức; cáu; nổi nóng
mệt,đuối; kiệt sức; mệt mỏi
khó,phức tạp; gian nan; không dễ
dễ,đơn giản; dễ dàng; thuận tiện
to,lớn; bự; khổng lồ
nhỏ,bé; tí hon; nhỏ nhắn
sai,không đúng; nhầm; lệch
đúng,chính xác; chuẩn; hợp lý
mua,sắm; đặt mua; lấy
bán,trao đổi; cung cấp; kinh doanh
đắt,cao giá; mắc; giá cao
rẻ,giá thấp; bình dân; phải chăng
ngon,tuyệt ngon; thơm ngon; đậm vị
dở,tệ; kém ngon; khó ăn
được,ổn; hợp lý; được việc
không,chẳng; không hề; không có
cần,cần thiết; phải có; quan trọng
thích,yêu thích; ưa thích; mê
ghét,không thích; chán ghét; khó chịu
cao,lớn; vượt trội; cao ráo
thấp,nhỏ; ngắn; kém
dài,lâu; kéo dài; dài dòng
ngắn,cụt; gọn; vắn tắt
mới,vừa; mới toanh; mới tinh
cũ,xưa; cũ kỹ; lỗi thời
hỏng,lỗi; không hoạt động; bị trục trặc
bẩn,dơ; dơ bẩn; không sạch
sạch,tinh tươm; sạch sẽ; gọn gàng
đông,nhiều người; tấp nập; đông đúc
vắng,thưa; ít người; vắng vẻ
khó chịu,phiền; bực; khó ở
dễ chịu,thoải mái; thư giãn; yên tâm
quan trọng,thiết yếu; trọng yếu; cần thiết
nhanh chóng,lập tức; ngay; gấp
chậm rãi,từ từ; thong thả; nhẹ nhàng
hài lòng,thỏa mãn; ưng; vừa ý
không hài lòng,thất vọng; không vui; không ưng
đơn giản,dễ; không phức tạp; nhẹ nhàng
phức tạp,rắc rối; khó; nhiều bước
